cty_number,cty_name,fips_code,fips_cty,public_health,health_service
1,Anderson,48001,1,4,4/5N
2,Andrews,48003,3,9,9/10
3,Angelina,48005,5,5,4/5N
4,Aransas,48007,7,11,11
5,Archer,48009,9,2,2/3
6,Armstrong,48011,11,1,1
7,Atascosa,48013,13,8,8
8,Austin,48015,15,6,6/5S
9,Bailey,48017,17,1,1
10,Bandera,48019,19,8,8
11,Bastrop,48021,21,7,7
12,Baylor,48023,23,2,2/3
13,Bee,48025,25,11,11
14,Bell,48027,27,7,7
15,Bexar,48029,29,8,8
16,Blanco,48031,31,7,7
17,Borden,48033,33,9,9/10
18,Bosque,48035,35,7,7
19,Bowie,48037,37,4,4/5N
20,Brazoria,48039,39,6,6/5S
21,Brazos,48041,41,7,7
22,Brewster,48043,43,10,9/10
23,Briscoe,48045,45,1,1
24,Brooks,48047,47,11,11
25,Brown,48049,49,2,2/3
26,Burleson,48051,51,7,7
27,Burnet,48053,53,7,7
28,Caldwell,48055,55,7,7
29,Calhoun,48057,57,8,8
30,Callahan,48059,59,2,2/3
31,Cameron,48061,61,11,11
32,Camp,48063,63,4,4/5N
33,Carson,48065,65,1,1
34,Cass,48067,67,4,4/5N
35,Castro,48069,69,1,1
36,Chambers,48071,71,6,6/5S
37,Cherokee,48073,73,4,4/5N
38,Childress,48075,75,1,1
39,Clay,48077,77,2,2/3
40,Cochran,48079,79,1,1
41,Coke,48081,81,9,9/10
42,Coleman,48083,83,2,2/3
43,Collin,48085,85,3,2/3
44,Collingsworth,48087,87,1,1
45,Colorado,48089,89,6,6/5S
46,Comal,48091,91,8,8
47,Comanche,48093,93,2,2/3
48,Concho,48095,95,9,9/10
49,Cooke,48097,97,3,2/3
50,Coryell,48099,99,7,7
51,Cottle,48101,101,2,2/3
52,Crane,48103,103,9,9/10
53,Crockett,48105,105,9,9/10
54,Crosby,48107,107,1,1
55,Culberson,48109,109,10,9/10
56,Dallam,48111,111,1,1
57,Dallas,48113,113,3,2/3
58,Dawson,48115,115,9,9/10
59,Deaf Smith,48117,117,1,1
60,Delta,48119,119,4,4/5N
61,Denton,48121,121,3,2/3
62,DeWitt,48123,123,8,8
63,Dickens,48125,125,1,1
64,Dimmit,48127,127,8,8
65,Donley,48129,129,1,1
66,Duval,48131,131,11,11
67,Eastland,48133,133,2,2/3
68,Ector,48135,135,9,9/10
69,Edwards,48137,137,8,8
70,Ellis,48139,139,3,2/3
